comment,topic
"kalau opini saya ketika lihat adu ide sperti ini saya lihat yang paling menonjol anis sama ganjar. prabowo kalah kalau soal omong, tapi perlu dipertimbangkan tentang omongan sama eksekusi, eksekusi dapat di lihat dari trackrecord mreka ketika menjabat dulu.",Ide dan gagasan yang realistis
klo adu gagasan ... gagasan thok ya .. yg muncul pertama pualing jago... gagasan thok lho ya.. prakteknya mbeltut,Ide dan gagasan yang realistis
pak anies lebih berwibawa dan lebih logik ide idenya,Ide dan gagasan yang realistis
"jujur, kalau dilhat kualitas jauh anis, prabowo dan ganjar jauh dibawahnya. anis apa yng ditanya itu yang dijawab, kalau yang lainya, jika ditanya jawabanya cerita. jadi ndak nyambung",Ide dan gagasan yang realistis
pak anies gokil sih langkah kongkretnya terurut dan sistematis.,Ide dan gagasan yang realistis
pak anies ide dan gagasan nya jelas,Ide dan gagasan yang realistis
"wah aku baru tahu klo hanya  1 capres yg berani hadir di undangan internasional untuk membicarakan mengenai energi.... top banget dah pak anies ini,,,berani dan punya gagasan yg sangat jelas. beda dgn capres lainya yg hanya mengunakan pencitran agar rakyat menengah kebawah kepincut serta kagum kepada dia. padahal bukan itu yg rakyat butuhkan, melainkan gagasan yg jelas.",Ide dan gagasan yang realistis
penjelasan bpk anis jelas dan logika.,Ide dan gagasan yang realistis
malam ini saya kira pak anis lebih logis dalam memberikan gagasan,Ide dan gagasan yang realistis
pak anis paling cerdas dalam menjawab dan memaparkan semua gagasan nya...,Ide dan gagasan yang realistis
"anis kalo jelasin tentang gagasan berubah kata kata ilmiah, mukanya tuh kayak seneng bgt ngejelasin nya. keren lah",Ide dan gagasan yang realistis
"pak anis punya gagasan lebih jelas terperinci dan inovatif dan juga inspiratis,masih yg terbaik bagi saya...",Ide dan gagasan yang realistis
sampai sat ini gagasan yg jelas dan paling masuk akal pak anies,Ide dan gagasan yang realistis
"pak ganjar emang sgt berkualitas, sederhana, bersahaja,& ngak jlimet gagasan & visi misnya,beda sama anis yg jlimet muter2 & prabowo yg jualan janji",Ide dan gagasan yang realistis
"pak anies penuh gagasan dari sejak gubernur.
gagasan...gagasan dan gagasan",Ide dan gagasan yang realistis
anis jawabnya yg paling bisa dipahami atau dicerna sama saya yg kurang berpendidikan ini,Ide dan gagasan yang realistis
"dimanapun adu gagasan bacapres, anies selalu tampil sebagai pemenang dengan penjelasan yg jelas serta menjawab permasalahan hari ini. yang lain pemaparanya hanya membaca materi yg disiapkan timnya dan ketika tanya jawab, jawabanya muter2 ga jelas.",Ide dan gagasan yang realistis
"anis sih yang idenya masuk, yang lain story teling doang",Ide dan gagasan yang realistis
"hanya anies baswedan , yang memberikan materi gagasan tanpa mengunakan slide 
berarti materi nya murni dari otak bukan dari laptop 

gua berani taruhan apa pun, debat ide dan gagasan tanpa teks dan tanpa laptop , anis baswedan yang menang",Ide dan gagasan yang realistis
pak anis gagasanya lebih jelas dan tepat,Ide dan gagasan yang realistis
pak anis lah yang gagasanya yang sangat berbobot. tidak bertele-tele.,Ide dan gagasan yang realistis
luar biasa pemikiran o anis,Ide dan gagasan yang realistis
"anies berbicara gagasan tapi sebatas gagasan, belum masuk kedalam realita dan tantangan. gagasan hebat, tingi tapi terlalu indah untuk dipikirkan.",Ide dan gagasan yang realistis
"gagasan dan argumen yg paling logis dan realistis cuma pak anies, ga blunder, ga muter2, ga ngedabrus",Ide dan gagasan yang realistis
"saya pertama mendengar kata gagasan, dari pak anis,  dan gagasan paling masuk akal pak anis baswedan, itu pendapat saya pribadi. 🙏 maf untuk pak ganjar dan prabowo",Ide dan gagasan yang realistis
"mantap ide dan gagasanya pak anies... kl kerja.. kerja.. kerja itu level kepala proyek, pemimpin negara hrs pny gagasan dan visi yg menyatukan kita",Ide dan gagasan yang realistis
pak anies punya konsep yg lebih jelas,Ide dan gagasan yang realistis
"anies punya konsep yg lebih jelas...



jelas omdonya",Ide dan gagasan yang realistis
"pak anis ini jelasinya mudah di mengerti. runut oke. sistematis dapet. orang terdidik, terbiasa  menempa diri dengan budaya nulis dan baca, hasilnya ya punya kualitas.",Ide dan gagasan yang realistis
"karena dsini bicara gagasan..
brti yg kt nilai ide, gagasan, cara berpikir. walaupn pnerapanya nti blm tentu.
dri dskusi tdi mnrt saya yg pling mdh di pahami anis",Ide dan gagasan yang realistis
gagasan anis yg paling top,Ide dan gagasan yang realistis
"gagasan pak anis di terangkan dengan lugas, terperinci dan di interpretasikan lebih jelas mudah dipahami tdk mutar2 ntah karena beliau latar belakangnya akademisi❤",Ide dan gagasan yang realistis
pak anies mantap banget gagasan dan ide2nya.. 👍👍👍,Ide dan gagasan yang realistis
"teori dan gagasan dalam narasi hanya akan jadi wacana tanpa aksi. in my humble opinion setelah kelar 6 jam ful. bukan berarti pak anis dan pak prabowo tidak meyakinkan, hanya saja pak ganjar yang bisa menjelaskan dengan fakta dan apa saja yang harus diperbaiki dan harapan harapan yg realistis.",Ide dan gagasan yang realistis
gagasan anies jauh lebih bagus,Ide dan gagasan yang realistis
anies paling rasional dan ilmiah .tanpa menghilangkan rasa hormat untuk bacapres lainya. anies paling berkualitas,Ide dan gagasan yang realistis
"gue suka konsep gagasan anies, tapi please lah masa cak imin sih wapresnya ? bibit bebet bobotnya ga ada",Ide dan gagasan yang realistis
"pak anis gagasan gagasanya lebih baik dan sebagian sudah diaplikasikan dijakarta,  untuk pak ganjar yg gagasanya seperti nice , cuman pertanyanya sekala jateng sekarang apakah sudah baik ? bagaimana dengan masalah perekonomian , sosial dan digitalisasi di jateng ? atau cuman omong doang ?",Ide dan gagasan yang realistis
"kalah jauh pak ganjar sama pak anis
cara memberi contoh.pak anis lebih mudah di fahami cerdas",Ide dan gagasan yang realistis
"ide dan gagasan anies pas mau menjabat gub dki, hasilnya nol besar. 95t cm dapat jpo. jakarta apes. jualan bacot mulu",Ide dan gagasan yang realistis
"klu rekam jejak, rekam karya, rekam tingkah laku, yg baru terbukti baik dan bersih baru pak anies mbak najwa, klu masalah gagasan yg paling bagus dan cemerlang juga pak anies mbak najwa, untuk apa lagi ragu ragu, maklum,",Ide dan gagasan yang realistis
pa anis menjawab permasalahan dgn substantif dan sistematik sehinga mudah di cerna dgn akal sehat,Ide dan gagasan yang realistis
"pa anis paling baik diantara yg lain
mudah dipahami gagasanya luar biasa",Ide dan gagasan yang realistis
"rata-rata di komen pada anies semua, membuktikan anies paling konkrit jawaban dan gagasanya",Ide dan gagasan yang realistis
nyontek gagasan anies,Ide dan gagasan yang realistis
anies capres yg penuh gagasan sayangnya tidak punya kemampuan untuk menjalankan gagasan nya alias omong doang.,Ide dan gagasan yang realistis
"pak anies baswedan lebih realistis dan visioner, jawaban selalu linear dengan pertanyan dan tema, tidak melenceng kemana mana, solusi yg di berikan pun realistis.",Ide dan gagasan yang realistis
hanya anies yang tidak baca text dan terstruktur gagasan nya.. dari gagasan yang baik akan tereksekusi dengan baik dan terstruktur dengan kolaborasi,Ide dan gagasan yang realistis
"gk usah gagasan gagasanlah.. 
gk jdi tolak ukur lagi acara acara bgini setiap mau pilpres..
emang ada jaminan setelah adu gagasan??",Ide dan gagasan yang realistis
"hebat ya pak anies, gagasan, jawaban elegan !",Ide dan gagasan yang realistis
"semua setuju pak anis punya bnyak ide dan gagasan,hnya saja sering tidak terlaksana dan hanya omong doang....sedangkan bacapres lain ide saja ga punya,terus mau ngapain kalo jadi?..",Ide dan gagasan yang realistis
anies terbaik dalam menjawab segala nya.. tegas dan relevan dengan keadan sekarang,Ide dan gagasan yang realistis
"pak anis yg menjelaskan gagasanx gk melihat kontek, tapi kalau ganjar yg menerangkan lagi nyontek kontek, berarti bukan dari hatix, tapi kalu pak anis jalas2 dari hatix.",Ide dan gagasan yang realistis
"pak ganjar terlalu hapalan dalam menyampaikan gagasanya.
beda dengan pak anies, begitu lugas dan sangat menguasai gagasan.",Ide dan gagasan yang realistis
"pak anis pemikiran dan gagasan nya bagus, tapi takut apa yang di bilang panji, bagi bagi jatah",Ide dan gagasan yang realistis
"banyak bener yg bilang gagasan si ... adalah yg terbaik. tapi sejauh yg sy lihat, yg dibilang terbaik itu tdk bisa merealisasikan gagasan tersebut sehinga sy sebut omongan tanpa tindakan adalah omong kosong. percuma jago ngomong tapi ga ada hasilnya😊.",Ide dan gagasan yang realistis
saya tertarik dan ga sabar utk menyaksikan implementasi dari ide dan gagasan luar biasa pak anies,Ide dan gagasan yang realistis
"kok yo capres kedua gagasanya rata2 hampir mirip semua dengan penampil pertama, bahkan solusi yg ditawarkan juga sama seperti yg pernah dikutip pak anies di temu dialog lain😅 contoh gagasan pak ganjar mengenai tantangan korupsi itu udah lebih dulu dan hampir persis mirip seperti yg disampaikan pak anies sat dialog dengan mahasiswa ui dan sat itu beliau bahkan gak pake contekan pt loh, eh😂

jd keliatan ya kualitas gagasan nya😅",Ide dan gagasan yang realistis
"anies bukanya kehabisan jawaban atau gagasan akan tetapi malah kekurangan pertanyan, salam perubahan",Ide dan gagasan yang realistis
hanya anies yg gagasan masuk akal..sisanya lbh bnyak cerita,Ide dan gagasan yang realistis
hanya anis yg spil gagasan spontan dan terekam tersimpan dalam otak ga perlu alat peraga atau alat bantu presentasi..spil gagasan atau kasih penyuluhan😂,Ide dan gagasan yang realistis
"anis tak memenuhi standar bacapres ri,setiap pertanyan jawabnya panjang lebar,tak ada yg konkrit dan menjabarkan strategi ,",Ide dan gagasan yang realistis
"alhamdulilah, pak anies baswedan belum terkalahkan dalam menjawab pertanyan dengan wawasan yang luas dan bisa dipahami",Ide dan gagasan yang realistis
jawaban pak anis yang paling fokus dengan pertanyanya jelas dan padat. yang lain entah apa yang mereka bicarakan.,Ide dan gagasan yang realistis
"anies menang di teori , ganjar lebih di praktek lapangan.",Ide dan gagasan yang realistis
al in pak anis visioner gagasan bagus penjelasan sangat mudah dimengerti,Ide dan gagasan yang realistis
anis yg paling keren👍🏻👍🏻 gagasan dn ide nya masuk akal,Ide dan gagasan yang realistis
coba anies jangan bagus di gagasan nya aja tapi bisa ga diterapkan pada nantinya.,Ide dan gagasan yang realistis
makin mantap milih anies gagasanya makin kesini makin menyentuh realitas lapangan . tentang usaha mikro anak muda dan ukt yang diluar batas,Ide dan gagasan yang realistis
"anies sangat menguasai topik, ganjar juga berbobot dgn data2 yg jelas. keduanya spesifik dan konkret dalam berpikir. mantap",Ide dan gagasan yang realistis
pak anis memang tarbaik dari gagasan yang baik mencerminkan eksekusi dan tindakan yang bagus juga,Ide dan gagasan yang realistis
yang pernah nonton debat pilgub dki pasti faham bagaimana cara anis beretorika dan bagaimana implementasi di lapanganya wkwkwkwk,Ide dan gagasan yang realistis
paling bagus gagasanya anies👍,Ide dan gagasan yang realistis
anies lebih realistis,Ide dan gagasan yang realistis
"pak anies positif vibes bgt ya👏 jawaban dari pertanyan juga sangat cerdas dan sangat mudah dimengerti oleh kaum milenial sekalipun, 1 kata, kelas🔥",Ide dan gagasan yang realistis
gagasan tertata bangat pak anis.. keren,Ide dan gagasan yang realistis
"paling keren gagasan pak anies, jawabanya gk muter2 n langsung terjawab dr pertanyan2, keliatan paling rasional, intelektual n cemerlang n bersolusi,,",Ide dan gagasan yang realistis
pemaparan pak anies sangat masuk akal,Ide dan gagasan yang realistis
kalau pak anies iklas buat negara semoga menang karena gagasan nya paling inovatif dan mencerahkan,Ide dan gagasan yang realistis
nonton dr awal sampai akhir. cuman pak anies yg ketemu titik terang dari pemaparan yg begitu jelas gagasan dan semua persolan dari pertanyan audien.,Ide dan gagasan yang realistis
"mendengar pemaparan pak ganjar, lebih jelas karena pak ganjar berbicara dengan data, angka dan infografis yg lebih masuk akal, nyata, terukur dan tentu memudahkan audien memahaminya, hal ini menyiratkan kalau pak ganjar lebih siap memimpin dari pada bacapres yg lain. 
gagasan pak ganjar lebih konkrit karena disertai kisah-kisah pengalaman di lapangan, ( ini menunjukan bhw beliau pemimpin yg berpengalaman) beliau sangat kenal betul apa yang terjadi di lapangan, bukan sekedar teori-teori dan retorika belaka yg belum ada buktinya.
soal ketegasan, tdk diragukan lg, beliau pernah memberhetikan stafnya yg terbukti korup.
beliau org yg  cerdas, bersih, jujur, berani, tegas, dekat dgn rakyat, dan mengayomi.
sehat terus pak ganjar, indonesia butuh orang sepertimu. 
2024 ganjar ri1, 
karena tuhan bersamamu. amin",Ide dan gagasan yang realistis
"dari semua bacapres..hanya  gagasan pak  anies yg menyentuh isu utama (kesehatan, pendidikan).dengan penyampaian yg tenang dan mudah di pahami.",Ide dan gagasan yang realistis
setiap pertanyan kepada pak anies dijawab dgn baik...,Ide dan gagasan yang realistis
"ugm melambung tingi ... gokil ugm plus mbak nana..
dari ini kita para generasi muda bs lihat gagasan dan kecakapn capres kita❤",Ide dan gagasan yang realistis
alhamdulilah pak anies baswedan memang cerdas dan bisa menjawab pertanyan yg disampaikan dgn penuh logika dan tangung jawab,Ide dan gagasan yang realistis
"kalaucuman gagasan tu mudah, sudah basi, masarakat dg janji2, kerja nyata yg lebih utama, lebih keinget di pilgub jakarta.",Ide dan gagasan yang realistis
"rakyat sudah cerdas dengan adanya adu gagasan ini rakyat bisa menilai mana yang layak dan mana yang tidak layak, mana yang hanya bicara tanpa rekam jejak dan mana yang banyak bicara tapi ada rekam jejak. rakyat tidak butuh kata² manis tapi butuh aksi realistis",Ide dan gagasan yang realistis
gagasan pak anis lebih baik diantara capres yg lain.,Ide dan gagasan yang realistis
gagasan luar biasa pak anies ❤,Ide dan gagasan yang realistis
"anies satu2nya bacawapres yang tidak membutuhan pt ,  karena ide dan gagasanya ada di kepalanya ....",Ide dan gagasan yang realistis
"pemaparan pak anies sangat tepat, singkat padat dan bisa di mengerti oleh semua kalangan juga singkron dengan pertanyan, jelas sekali kecerdasanya, dan yakin kita itu tidak hanya sekedar omongan saja, mungkin nanti bisa terlaksana,",Ide dan gagasan yang realistis
yang paling greget gagasan dan pemaparanx dari pak anies baswedan,Ide dan gagasan yang realistis
"dari semua bacapres ini, memang anies baswedan sangatlah luwes dan terstruktur dalam menyampaikan dan menjawab pertanyan. semua memiliki kelebihan dan kekuranganya masing2. ini baru pemaparan gagasan awal, luwes dan terstruktur dalam penyampaian dan menjawab pertanyan bukan faktor utama yg bisa mengimplementasikan gagasanya. karena perlu diketahui, memaparkan gagasan dan keinginan tidak semudah mengimplementasikanya. sampai sat ini, saya belum bisa memilih bacapres mana, karena wakilnya pun belum semua diumumkan",Ide dan gagasan yang realistis
kok cuma pak anis ya yg bicara gagasan tanpa materi  ditayangkan di layar slide dan jawaban dari pertanyan juga tanpa ada materi yg diyangkan slide layar monitor...,Ide dan gagasan yang realistis
sejauh ini pak anies yg paling realistis dan bisa dipercaya dr gagasan nya,Ide dan gagasan yang realistis
anies lebih jelas konsep.y,Ide dan gagasan yang realistis
hanya anies yang gagasanya mbulet dan absurd,Ide dan gagasan yang realistis
gagasan capres kali ini dikuasai oleh anies.. dan sangat terlihat gagasan gagasan yang sangat menarik dipaparkan oleh pak anies baswedan 🎉,Ide dan gagasan yang realistis
gagasan yang lebih segar ada di anies dan ganjar,Ide dan gagasan yang realistis
"cuma mas anies yg mengena ide dan gagasanya,rakyat mendukung anies baswedan..",Ide dan gagasan yang realistis
sesuai dengan tema yg bicara gagasan cuma anies...,Ide dan gagasan yang realistis
gagasan pak anies paling top yg lain cuma nyontek,Ide dan gagasan yang realistis
"terimakasih banyak mba nana, saya suda di perlihatkan dengan ide dan gagasanya yang otentik dari pak anies baswedan, bukan ide yang sudah di tulis dalam secercah kertas 👏👏👏",Ide dan gagasan yang realistis
diperlukan pemikiran x-trim untuk perubahan...kami menaruh asa dan harapan dipundak pak anis..capres yang lain biasa aja..selama menjabat mereka tak sepenuhnya  membuktikan amanahnya kepada rakyat.,Ide dan gagasan yang realistis
"padat,jelas,tertata,mudah dipahami meskipun tanpa teks,anies the best",Ide dan gagasan yang realistis
"sudah tertebak, kalau untuk kata-kata anies baswedan memang jagonya. untuk gagasan saya kira ganjar dan prabowo paling realistis.",Ide dan gagasan yang realistis
pandai dalam menjelaskan mudah beradaptasi mantap pa anies semangat terus,Ide dan gagasan yang realistis
pak anies seorang yg punya penuh ide gagasan revolusioner.. setiap pertanyan selalu dijawab dengan baik dan mudah dipahami,Ide dan gagasan yang realistis
"untuk konsep dan gagasan, paling oke sejauh ini cuma pak anis baswedan",Ide dan gagasan yang realistis
semua yg disampaikan pk anies memberikan inspirasi,Ide dan gagasan yang realistis
anis klo bikin gagasan paling jago apalagi menata kata,Ide dan gagasan yang realistis
yang suka gagasan anies kasi jempol.,Ide dan gagasan yang realistis
"gagasan pak anies baswedan adalah yang terbaik dari bacapres lain , luarbiasa pemikiranya sangat jenius",Ide dan gagasan yang realistis
layak menjadi perhatian ide-ide dan gagasan pak anies. tingal kita nantikan tindaklanjut nyata nya.,Ide dan gagasan yang realistis
reflexsi yang di lakukan anis. bak puisi.. yang indah.. tentu... itu bagus.. hanya.... yang dikerjakan itu yang lebih oenting di negri ini.,Ide dan gagasan yang realistis
menurut ku pak anies paling logis dalam menyampaikan paparan dan gagasanya. keren pak maju trus,Ide dan gagasan yang realistis
"pak anis pake teks, teks nya di taruh di otak, beda sama yg onoh.",Ide dan gagasan yang realistis
"pak anies, tolong kasih paparan ,penjelasan,atau contoh gagasanya. jgn bermain dengan kata kata manis,kita butuh gagasan dan ide bukan kultum dengan kata kata",Ide dan gagasan yang realistis
gagasan pak anies lebih jangka panjang dan revolusioner. yang lainya banyak dongeng gak nyambung...,Ide dan gagasan yang realistis
pak anis pemahaman yang paling dalam dan penjelasan yang jelas. kelas memang anis for r1,Ide dan gagasan yang realistis
pa anies yg jawabanya paling masuk akal dan penuh gagasan .. setiap pertanyan d jawab lugas dan smart.  keren pa anies,Ide dan gagasan yang realistis
anis ngomongin apa sih gagasan ko mengalihkan keadan yg ada,Ide dan gagasan yang realistis
saya suka jawaban pak anies yg selalu ada bukti konkret ketika menjawab permasalahan. beliau mengambil contoh ketika menyelesaikan masalah di jakarta padahal hanya 5 tahun menjabat,Ide dan gagasan yang realistis
"anies original gagasan bikin optimistis ,auto meningkatkan iq rakyat",Ide dan gagasan yang realistis
gagasan yang diberikan oleh pak anies sangat bagus dan juga menarik sekali,Ide dan gagasan yang realistis
gagasan anies baswedan paling mantap...,Ide dan gagasan yang realistis
"anies kurangnya dikit, yang lain lebihnya dikit. semoga kedepan evaluasi, supaya gagasanya lebih tajam dan pembicaran lebih menarik. satu lagi semoga semuanya jujur.",Ide dan gagasan yang realistis
gagasan pak anies sangat jelas,Ide dan gagasan yang realistis
perlu dinget adu gagasan adl ide seorang anies baswedan,Ide dan gagasan yang realistis
anies terbaik terealistis,Ide dan gagasan yang realistis
"coba 10tahun lalu pak anies mencalonkan dan memberikan gagasan seperti ini, pasti ga kuatir plonga plongo nanti",Ide dan gagasan yang realistis
"dari cara pemaparan dan gagasan, saya melihat pak anies yang bisa di pahami",Ide dan gagasan yang realistis
"gagasan pa anies... mantul  , futuristik, dan keren... god job",Ide dan gagasan yang realistis
"konteks jawaban paling mudah dipahami masih pak anis. pak ganjar bagus juga sedikit kurang substantif dan on point. pak prabowo gaul juga, tpi ada konteks yang berelbihan. u know who i chose",Ide dan gagasan yang realistis
cuma pak anis yg pemaparan jelas  dengan gagasanya,Ide dan gagasan yang realistis
gagasan pak anis keren,Ide dan gagasan yang realistis
anies selalu jadi no 1 dalam setiap adu gagasan selalu jadi pelopor bagi bacapres lain😅,Ide dan gagasan yang realistis
kenapa cuman  gagasan pak anies yg terlihat obyektif yah?,Ide dan gagasan yang realistis
"semua punya gagasan bagus, tapi pak anis punya gagasan paling jelas, terstruktur, diksi yang santun, dan bisa dengan detil secara teknis. semoga survey elektabilitasnya langsung loncat.",Ide dan gagasan yang realistis
cuma anies baswedan yg lebih nyambung gagasan bukan ngomong semata akan terbukti pada waktunya,Ide dan gagasan yang realistis
"kami sekeluarga dukung pak anies, ide dan gagasanya sangat mewakili kita semua",Ide dan gagasan yang realistis
"kok sepertinya, gagasan pak anis yang mudah dipahami dan lebih meyakinkan utk solusi.",Ide dan gagasan yang realistis
"keliahatan jelas,,,, mas anis paling jelas dan realistis gagasanya......",Ide dan gagasan yang realistis
"setelah menyimak pemaparan para capres,maka menurut sy yang paling masuk akal karena sudah dapat dilihat dari rekam jejak yang pernah dibuat pak anies, maka program beliaulah yang dapat saya percaya",Ide dan gagasan yang realistis
dr segi gagasan wawasan cara menyampaikan pak anis pemenangnya,Ide dan gagasan yang realistis
ide dan gagasan pak anis rasyid baswedan memang top....,Ide dan gagasan yang realistis
"awalnya mau golput saja, setelah melihat ful dari awal sampai akhir video, saya putuskan memilih bapak h. anis rasyid baswedan. penjelasan dan gagasanya jelas, tidak pakai text dan presentasi. menguasai materi, visinya jelas.",Ide dan gagasan yang realistis
"pak anis gagasan2nya sangat luarbiasa,,tapi untuk merealisasikanya akan sangat sulit ,,semoga klo terpilih akan terus on track",Ide dan gagasan yang realistis
tanda-tanda akan berakhirnya para buzer rp.. dengan kecerdasan intelektual yang sesunguhnya bukan dengan framing pencitran..,Ide dan gagasan yang realistis
"ganjar keren, dapet fasilitas slide di layar dan bisa baca tablet... lebih milenial... krna jaman now baca teks lebih disukai oleh khalayak ketimbang yg jago public speaking... di dunia kerja mungkin beda, tp faktanya kalo di dunia capres ya seperti itu...",Ide dan gagasan yang realistis
ke tau an ya.  siapa yg bisa memberi gagasan.  mantap pak anis.,Ide dan gagasan yang realistis
"denger pemaparan pak anis jadi goyah dukung prabowo, keren juga gagasanya pak anis, realistis",Ide dan gagasan yang realistis
gagasan pak anis yang lumayan bagus dan signifikan,Ide dan gagasan yang realistis
pak anies memiliki gagasan yg jelas d,Ide dan gagasan yang realistis
harusnyà yang perama presentasi itu ganjàr. buar  gak nyontwk gagasan pak anies.,Ide dan gagasan yang realistis
gagasan anis lebih masuk akal,Ide dan gagasan yang realistis
sejauh ini menurut saya hanya anies yang gagasanya cukup jelas dan memuaskan,Ide dan gagasan yang realistis
"anies mantap juga sih gagasanya, tingal realisasinya",Ide dan gagasan yang realistis
"gagasan pak anis sangat cerdas ,
    saya tadinya dukung ganjar , setelah melihat gagasan saya dukung anis",Ide dan gagasan yang realistis
ànis baswadan sunguh cerdas dalam menyampaikan gagasan dan berkomunikasi dgn baik.,Ide dan gagasan yang realistis
"pak anies punya gagasan yg realistis, tidak muluk-muluk. saya dari riau  mantap dukung pak anies.",Ide dan gagasan yang realistis
luar biasa gagasanya pak anies,Ide dan gagasan yang realistis
"pangungnya anies untuk bicara gagasan, bukan bekerja",Ide dan gagasan yang realistis
setelah mengikuti dr awal sampe selesai memang keliatan sekali pak anis gagasanya yang paling mantep dan keren,Ide dan gagasan yang realistis
"ide dan gagasan anies sangat ideal, semoga semua hal baik menyertai 🙏",Ide dan gagasan yang realistis
"klo bicara gagasan dan wawasan pak anies lebih dapet sih. lugas, cerdas, realistis dan logis ❤❤❤❤❤",Ide dan gagasan yang realistis
"melihat isi kepala semua capres, sepertinya anies adalah pilihan terbaik. acara seperti ini seharusnya di lakukan lebih sering dan lebih banyak lagi sampai kita benar-benar paham semua pikiran dan ide c
apres",Ide dan gagasan yang realistis
"tenang & mudah di fahami penjelasan anies faham dg gagasanya, tidak ketus menagapi pertanyan. anies sgt realistis gak muluk². rekam jejak & karya anies jelas",Ide dan gagasan yang realistis
"gagasan anis dari pemaparan masalah dan solusi mudah di pahami, semua di kepalanya bukan di power point, itu ciri orang ahli.",Ide dan gagasan yang realistis
masih belum menentukan pilihan tetapi setelah lihat acara ini saya cenderung memilih anies. semoga diperbanyak dan sering acara seperti ini sehinga kita bisa melihat berbgai pandangan dan gagasan semua capres.,Ide dan gagasan yang realistis
